Early/Mid,Age,Sample,Acrospirifer,Aesopomum,Alatiformia,Ambocoelia,Anastrophia,Anatrypa,Ancillotoechia,Anoplia,Antirhynchonella,Antistrix,Athyrhynchus,Athyris,Atrypa,Bifida,Bojothyris,Brachyprion,Brachyspirifer,Camarotoechia,Carinagypa,Cassidirostrum,Centronella,Chonetes,Choperella,Coelospira,Cortezorthis,Costispirifer,Cranaena,Crurithyris,Cryptonella,Cyrtina,Cyrtinaella,Cyrtinoides,Dalejina,Davidsonia,Delthyris,Desatrypa,Desquamatia,Devonoproductus,Dicoelosia,Discomyorthis,Dolerorthis,Droharhynchia,Dyticospirifer,Echinocoelia,Eleutherokomma,Elita,Elythyna,Emanuella,Enantiosphenella,Eoglossinotoechia,Eoschuchertella,Eurekaspirifer,Geranocephalus,Glassia,Gonatrypa,Gypidula,Gypidulina,Hadrorhynchia,Hebetoechia,Hedeina,Howellella,Howittia,Hypothyridina,Hysterolites,Ilmenia,Innuitella,Invertrypa,Iridistrophia,Johnsonetes,Ladjia,Ladogioides,Leiorhynchus,Lepidoleptaena,Leptaena,Leptaenisca,Leptathyris,Leptocoelina,Leptostrophia,Levenea,Llanoella,Machaeraria,Megakozlowskiella,Megastrophia,Megastrophiella,Meristella,Meristina,Mesodouvillina,Mesoleptostrophia,Metaplasia,Mimatrypa,Mononusphaericorhynchus,Muriferella,Nanothyris,Navispira,Nemesa,Nervostrophia,Newberria,Notoparmella,Nucleospira,Ogilviella,Oriskania,Orthostrophella,orthotetoaceans,Pacificocoelia,Parachonetes,Paracrothyris,Parapholidostrophia,Parastringocephalus,Pentamerella,Pholidostrophia,Phragmophora,Phragmostrophia,Pinguispirifer,Platyterorhynchus,Pleiopleurina,Plicoplasia,Productella,Protathyris,Protocortezorthis,pseudoatrypa,Pseudoparazyga,Ptychopleurella,Quadrithyris,Radiatrypa,Rensselaeria,Resserella,Reticulariopsis,Reticulatrypa,Rhipidomella,Rhipidothyris,Rhynchospirina,Rhyssochonetes,Salopina,Schizophoria,Schuchertella,Septatrypa,Sieberella,Skenidioides,Skenidium,Sphaerirhynchia,Spinatrypa,Spinatrypina,Spinella,Spinoplasia,Spinulicosta,Spirigerina,Stringocephalus,Strophochonetes,Strophodonta,Strophonella,Subrensselandia,Talentella,Tecnocyrtina,Teichertina,Thliborhynchia,Trematospira,Trigonirhynchia,Tyersella,Undispirifer,Vagrania,Vallomyonia,Variatrypa,Warrenella,Werneckeella
Early,LOCHKOV.,B-10,0,0.008244994,0,0,0,0,0,0,0.074204947,0,0,0,0.043580683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027090695,0.005889282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008244994,0,0,0,0,0.088339223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001177856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073027091,0,0,0,0,0,0,0,0,0,0,0.018845701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034157833,0.002355713,0,0,0,0,0,0,0.00942285,0,0.199057715,0,0,0,0,0,0.011778563,0,0,0,0.106007067,0,0,0,0,0,0,0,0.02237927,0,0,0,0,0,0.255594817,0,0,0.002355713,0,0,0,0,0,0,0,0,0.008244994
Early,EMSIAN,CCN3 144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN3 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983606557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN3 175,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN3 184,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN3 198,0,0,0,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN3 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951219512,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN3 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262295082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721311475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN2 105,0,0,0,0,0,0,0,0,0,0,0,0,0.045238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0.661904762,0.142857143,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019047619,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030952381,0,0.042857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early,EMSIAN,CCN2 109,0,0,0,0,0,0,0,0,0,0,0,0,0.304347826,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043,0,0.065217391,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
