sitename,lat,long,group
CCN3 144,40.042593,-116.449169,COAL
CCN3 157,40.042593,-116.449169,COAL
CCN3 175,40.042593,-116.449169,COAL
CCN3 184,40.042593,-116.449169,COAL
CCN3 198,40.042593,-116.449169,COAL
CCN3 23,40.042593,-116.449169,COAL
CCN3 38,40.042593,-116.449169,COAL
CCN1 105,40.045126,-116.452478,COAL
CCN1 109,40.045126,-116.452478,COAL
CCN1 157,40.045126,-116.452478,COAL
CCN1 167,40.045126,-116.452478,COAL
CCN1 176,40.045126,-116.452478,COAL
CCN1 223,40.045126,-116.452478,COAL
CCN1 251,40.045126,-116.452478,COAL
CCN1 257,40.045126,-116.452478,COAL
CCN1 270,40.045126,-116.452478,COAL
CCN1 300,40.045126,-116.452478,COAL
CCN1 72,40.045126,-116.452478,COAL
CCN1 81,40.045126,-116.452478,COAL
CCN1 95,40.045126,-116.452478,COAL
USNM 10757,40.045619,-116.46602,COAL
USNM 10758,40.045118,-116.463574,COAL
USNM 13659,40.040665,-116.468045,COAL
USNM 17202,40.045596,-116.453994,COAL
USNM 17462,40.039972,-116.46788,COAL
USNM 17708,40.040665,-116.468045,COAL
H64 3,39.935879,-116.295419,NRM
RM 90-2,39.906504,-116.320842,NRM
UCR 5447 (USNM 12757),39.94221,-116.326288,NRM
UCR 5448 (USNM 12758),39.94221,-116.326288,NRM
UCR 5450 (USNM 12760),39.94221,-116.326288,NRM
UCR 5451 (USNM 12761),39.94221,-116.326288,NRM
UCR 5452 (USNM 12762),39.94221,-116.326288,NRM
UCR 5453 (USNM 12763),39.94221,-116.326288,NRM
UCR 5454 (USNM 12764),39.94221,-116.326288,NRM
UCR 5455 (USNM 12765),39.94221,-116.326288,NRM
UCR 5456 (USNM 12766),39.94221,-116.326288,NRM
"UCR 5457 (USNM 12327, 12767)",39.94221,-116.326288,NRM
UCR 5459 (USNM 12328),39.941916,-116.30919,NRM
UCR 5462 (12331),39.942451,-116.315831,NRM
USNM 10795,39.948361,-116.308262,NRM
USNM 10798,39.928145,-116.310494,NRM
USNM 13268,39.934935,-116.303864,NRM
USNM 13631,39.94216,-116.30242,NRM
USNM 13649,39.924407,-116.31367,NRM
USNM 17484,39.94216,-116.30242,NRM
"WCII 1040 (USNM 17276, 17609)",39.942944,-116.303711,NRM
WCII 1050 (USNM 13632),39.942944,-116.303711,NRM
"WCII 1062 (USNM 17610, 17745)",39.942944,-116.303711,NRM
WCII 1064 (USNM 17611),39.942944,-116.303711,NRM
WCII 1200,39.942944,-116.303711,NRM
WCII 1201,39.942944,-116.303711,NRM
WCII 1207,39.942944,-116.303711,NRM
WCII 1210,39.942944,-116.303711,NRM
WCII 1229,39.942944,-116.303711,NRM
WCII 1230,39.942944,-116.303711,NRM
WCII 1293,39.942944,-116.303711,NRM
WCII 1295,39.942944,-116.303711,NRM
WCII 1305,39.942944,-116.303711,NRM
WCII 1311,39.942944,-116.303711,NRM
WCII 1313,39.942944,-116.303711,NRM
WCII 1330,39.942944,-116.303711,NRM
WCII 929 (USNM 17744),39.942944,-116.303711,NRM
WCII 980 (USNM 17608),39.942944,-116.303711,NRM
J43 1,40.053569,-116.355849,RED HILL
RH 1A 19,40.053123,-116.355732,RED HILL
RHII 18,40.052334,-116.35423,RED HILL
RHII 22,40.052334,-116.35423,RED HILL
SSR 120,40.171277,-116.05514,NSSR
SSR 130,39.956865,-116.087232,NSSR
SSR 165,40.132438,-116.053792,NSSR
SSR 195,40.171277,-116.05514,NSSR
SSR 48,40.096962,-116.05055,NSSR
SSR 7,40.096962,-116.05055,NSSR
SSR 82,40.171277,-116.05514,NSSR
SSR 87,40.171277,-116.05514,NSSR
SSR 9,40.096962,-116.05055,NSSR
SSR 97,40.171277,-116.05514,NSSR
SSR Pb,,,NSSR
USNM 10726,40.178319,-116.053101,NSSR
USNM 10726f,40.178319,-116.053101,NSSR
USNM 10727,40.177568,-116.052859,NSSR
USNM 10730,40.175886,-116.054587,NSSR
USNM 10731,40.175886,-116.054587,NSSR
USNM 10732,40.175886,-116.054587,NSSR
USNM 10749,40.175345,-116.051454,NSSR
USNM 10768,40.175886,-116.054587,NSSR
USNM 12769,40.175345,-116.051454,NSSR
USNM 12777,40.179103,-116.053294,NSSR
USNM 12778,40.178733,-116.052618,NSSR
USNM 12792,40.178319,-116.053101,NSSR
USNM 12793,40.178319,-116.053101,NSSR
USNM 17475,40.210398,-116.010451,NSSR
SSR 112,39.93756,-116.087953,SSSR
SSR 19,39.956865,-116.087232,SSSR
SSR 20,39.956865,-116.087232,SSSR
SSR 21,39.956865,-116.087232,SSSR
UCLA 3493,40.001429,-116.089107,SSSR
UCLA 3496,40.001429,-116.089107,SSSR
UCLA 3497,40.001429,-116.089107,SSSR
UCR 3473,40.001429,-116.089107,SSSR
UCR 3478,40.001429,-116.089107,SSSR
UCR 3479,40.001429,-116.089107,SSSR
UCR 3481,40.001429,-116.089107,SSSR
UCR 3482,40.001429,-116.089107,SSSR
USNM 17763,39.956865,-116.087232,SSSR
USNM 10752,40.147949,-116.5629,CORTEZ
USNM 10754,40.104026,-116.569985,CORTEZ
USNM 10807,39.796111,-116.344422,SRM
USNM 17458,39.796597,-116.264551,SRM
USNM 12534,39.865991,-116.393837,WRM
USNM 13638,39.865991,-116.393837,WRM
USNM 17473,39.865991,-116.393837,WRM
USNM 17710,39.865991,-116.393837,WRM
USNM 17740,39.865991,-116.393837,WRM
