Age,X,Y,,,,,,,,
Early,-0.5449,-0.2972,,,,,,,,
Early,-1.3363,0.8527,,,,,,,,
Early,-1.3629,0.7782,,,,,,,,
Early,-1.2416,0.2764,,,,,,,,
Early,-1.2728,0.1253,,,,,,,,
Early,-0.8419,0.6859,,,,,,,,
Early,-1.8019,0.3233,,,,,,,,
Early,-1.8668,0.3045,,,,,,,,
Early,-1.1469,0.0668,,,,,,,,
Early,-0.9583,0.0007,,,,,,,,
Early,-1.0526,-0.2773,,,,,,,,
Early,-1.7783,0.0362,,,,,,,,
Early,-0.9507,-0.3375,,,,,,,,
Early,-0.9885,-0.1906,,,,,,,,
Early,-0.8838,-0.4304,,,,,,,,
Early,-0.7851,0.0951,,,,,,,,
Early,-0.4984,-0.1116,,,,,,,,
Early,-0.3431,-0.2573,,,,,,,,
Early,-1.3431,-0.3503,,,,,,,,
Early,-0.8851,0.1928,,,,,,,,
Early,-1.4063,0.5273,,,,,,,,
Early,-1.0561,0.4584,,,,,,,,
Early,-0.9567,0.4266,,,,,,,,
Early,-1.0276,0.4225,,,,,,,,
Early,-1.0185,0.2765,,,,,,,,
Early,-0.9335,0.4842,,,,,,,,
Early,-1.0815,0.4064,,,,,,,,
Early,-1.3474,0.5229,,,,,,,,
Early,-0.9131,0.5932,,,,,,,,
Early,-1.2874,0.5291,,,,,,,,
Early,-0.4024,-0.3205,,,,,,,,
Middle,0.6718,-0.4856,,,,,,,,
Middle,0.0536,-0.5114,,,,,,,,
Middle,0.1126,-0.5063,,,,,,,,
Middle,0.1411,-0.4884,,,,,,,,
Early,-2.4011,-0.835,,,,,,,,
Early,-2.4061,-0.9991,,,,,,,,
Early,-0.4218,0.0597,,,,,,,,
Middle,0.9687,-0.6007,,,,,,,,
Middle,0.2995,0.0987,,,,,,,,
Middle,0.4989,0.3796,,,,,,,,
Middle,0.3037,0.5156,,,,,,,,
Middle,0.8656,-0.2247,,,,,,,,
Middle,0.9837,0.2805,,,,,,,,
Middle,0.8635,0.316,,,,,,,,
Middle,1.0881,0.4127,,,,,,,,
Middle,0.9989,0.3913,,,,,,,,
Middle,0.2044,0.2387,,,,,,,,
Early,-1.5952,-0.0044,,,,,,,,
Early,-1.3657,0.4268,,,,,,,,
Early,-0.8687,0.0281,,,,,,,,
Early,-1.0404,-0.4389,,,,,,,,
