Faunal Interval,X,Y
24-25,0.3584,-1.0394
26,0.8019,0.5409
26,0.7783,-0.6017
26,0.8569,-0.1337
24-25,0.1565,-1.0892
24-25,-0.3933,-1.1943
19-20,-0.293,0.8162
27U,0.719,0.3877
27U,0.5168,0.3498
19-20,-0.7877,0.2156
19-20,-0.4695,0.0593
27U,0.563,0.4455
19-20,-0.9037,0.8244
21-23,-0.9831,0.2862
21-23,-0.7595,0.61
21-23,-0.7503,0.6948
21-23,-0.1191,0.3723
24-25,0.3435,-0.5639
27U,0.638,0.1812
27U,0.5294,0.1072
27U,0.5463,-0.0279
27U,0.7147,0.2917
28,0.8904,0.4114
28,1.0988,0.3566
28,0.972,0.4558
28,1.0094,0.4794
28,1.2048,0.5915
28,1.0539,0.4401
28,1.1212,0.2886
28,1.0192,0.5243
19-20,-0.9068,-0.3634
27L,0.4591,-0.2523
27U,0.6917,-0.1421
19-20,-0.3091,0.4738
19-20,-0.5991,0.9721
19-20,-0.7904,0.1763
19-20,-0.5774,0.091
19-20,-0.3019,0.9643
27L,0.8571,0.0164
27U,0.7069,0.3152
27L,0.8593,0.0325
21-23,-0.4002,0.4423
21-23,-0.8524,0.0041
21-23,-0.0025,0.4822
24-25,0.5098,-0.3925
21-23,-0.4064,0.825
27U,0.6025,0.126
21-23,-0.3788,0.5434
24-25,0.4647,-0.3168
24-25,0.7439,-0.3926
24-25,0.5007,-0.5925
24-25,0.2537,-0.637
24-25,0.3553,-0.6828
26,0.7805,-0.602
19,-1.1161,0.418
19,-0.8783,-0.5734
19,-1.0481,0.3601
19,-0.5986,0.1123
19,0.4339,0.3121
19,0.1372,-0.3866
19,0.3558,0.1409
19,-1.2933,-0.4289
19,-1.0083,-0.4281
19-20,-0.2701,-0.0141
19-20,-0.6229,-0.6626
21,-1.0008,0.4555
19,0.2826,-0.9246
19,-0.9495,-0.3312
19-20,-0.2188,0.2501
19,-0.9667,-0.2151
19,0.6209,0.2732
19,0.8587,0.2706
19,0.7822,0.5088
19,0.8619,0.3651
19,0.7295,0.4967
19-20,-0.3141,0.2908
19,-0.4872,-0.3174
19,-0.7117,0.4495
19-20,-0.1016,0.2164
19-20,-0.8995,-0.2889
19-20,-0.6358,0.1431
19-20,-0.2512,0.4799
19-20,-0.6699,0.1973
21,-0.774,0.2059
21,-0.7729,0.1315
21,-0.9568,0.2054
21,-0.7245,0.0249
21,-0.7157,-0.6811
21,-0.6274,-0.6106
24-25,-0.2093,-1.2207
24-25,-0.015,-1.0063
24-25,-0.1119,-0.7057
24-25,0.3033,-1.2157
24-25,0.3069,-1.1448
24-25,0.4108,-0.9124
19-20,0.1501,0.4226
19-20,-0.3224,0.0248
24-25,0.3456,-0.8584
